Chain,Month,DOW,Scam_Type,Funds_Lost,Funds_Returned
Binance,February,Monday,Exit Scam,FL Less Than 100K,No Funds Returned
Ethereum,June,Saturday,Exploit,FL Less Than 100K,No Funds Returned
Binance,January,Friday,Exit Scam,FL Less Than 100K,No Funds Returned
Ethereum,February,Wednesday,Exploit,FL Low Millions,No Funds Returned
Ethereum,September,Saturday,Exit Scam,FL Less Than 100K,No Funds Returned
Binance,May,Friday,Exploit,FL Low Millions,No Funds Returned
Other,July,Wednesday,Exit Scam,FL Low Millions,No Funds Returned
Binance,March,Tuesday,Exit Scam,FL Less Than 100K,No Funds Returned
Ethereum,June,Monday,Exploit,FL Low 100K's,No Funds Returned
Ethereum,October,Tuesday,Exit Scam,FL Less Than 100K,No Funds Returned
Other,July,Monday,Exit Scam,FL Low Millions,No Funds Returned
Ethereum,October,Tuesday,Exploit,FL Low Millions,No Funds Returned
Binance,May,Wednesday,Exit Scam,FL Low Millions,No Funds Returned
Binance,June,Sunday,Exit Scam,FL Low 100K's,No Funds Returned
Ethereum,July,Tuesday,Exploit,FL Less Than 100K,No Funds Returned
Polygon,July,Wednesday,Exploit,FL Low Millions,No Funds Returned
Avax,October,Saturday,Exploit,FL Low Millions,No Funds Returned
Ethereum,February,Tuesday,Exit Scam,FL Less Than 100K,No Funds Returned
xDAI,October,Sunday,Exploit,FL Low 100K's,No Funds Returned
Polygon,September,Thursday,Exploit,FL Low 100K's,No Funds Returned
Binance,May,Sunday,Exploit,FL Low Millions,No Funds Returned
Ethereum,December,Tuesday,Exit Scam,FL Low Millions,No Funds Returned
Other,December,Thursday,Exploit,FL High 100K's,No Funds Returned
Binance,February,Monday,Exploit,FL Low 100K's,No Funds Returned
Ethereum,August,Wednesday,Exploit,FL Low 100K's,No Funds Returned
Ethereum,July,Saturday,Exploit,FL Low Millions,No Funds Returned
Binance,October,Friday,Exploit,FL Low Millions,No Funds Returned
Ethereum,March,Thursday,Exit Scam,FL Less Than 100K,No Funds Returned
Ethereum,May,Wednesday,Exploit,FL Low Millions,No Funds Returned
Ethereum,January,Tuesday,Exit Scam,FL Low 100K's,No Funds Returned
Binance,June,Tuesday,Exploit,FL Less Than 100K,No Funds Returned
Solana,January,Thursday,Exit Scam,FL Less Than 100K,No Funds Returned
Polygon,June,Sunday,Exploit,FL Less Than 100K,No Funds Returned
Ethereum,October,Sunday,Exit Scam,FL Less Than 100K,No Funds Returned
Ethereum,October,Saturday,Exit Scam,FL Less Than 100K,No Funds Returned
