"","funds_lost","funds_returned","scamNetworks","scam_type_grouped"
"153",0,0,"Ethereum","Exit Scam"
"154",32065,0,"Ethereum","Exit Scam"
"155",1273618,1273618,"Solana","Exploit"
"156",0,0,"Ethereum","Exit Scam"
"157",972616,0,"Ethereum","Exploit"
"158",977550,0,"Ethereum","Exploit"
"159",0,0,"Fantom","Exit Scam"
"160",0,0,"Polygon","Exit Scam"
"161",4e+06,0,"Ethereum","Exploit"
"162",7602,0,"Binance","Exit Scam"
"163",5880000,0,"Centralized","Exploit"
"164",0,0,"Binance","Exit Scam"
"165",2661699,0,"Binance","Exit Scam"
"166",0,0,"Ethereum","Exit Scam"
"167",0,0,"Ethereum","Exit Scam"
"168",5e+06,0,"Binance","Exploit"
"169",0,0,"Binance","Exit Scam"
"170",0,0,"Ethereum","Exit Scam"
"171",0,0,"Binance","Exit Scam"
"172",64891,0,"Ethereum","Exit Scam"
"173",0,0,"Ethereum","Exit Scam"
"174",0,0,"Ethereum","Exit Scam"
"175",0,0,"Binance","Exit Scam"
"176",0,0,"Binance","Exit Scam"
"177",0,0,"Ethereum","Exit Scam"
"178",0,0,"Binance","Exit Scam"
"179",0,0,"Polygon","Exit Scam"
"180",0,0,"Binance","Exit Scam"
"181",0,0,"Binance","Exit Scam"
"182",0,0,"Ethereum","Exit Scam"
"183",0,0,"Ethereum","Exit Scam"
"184",0,0,"Polygon","Exit Scam"
"185",660739,0,"Binance","Exploit"
"186",0,0,"Binance","Exit Scam"
"187",0,0,"Binance","Exit Scam"
"188",0,0,"Ethereum","Exit Scam"
"189",0,0,"Ethereum","Exit Scam"
"190",6.4e+07,0,"Centralized","Exploit"
"191",0,0,"Binance","Exit Scam"
"192",0,0,"Binance","Exit Scam"
"193",0,0,"Binance","Exit Scam"
"194",139895140,0,"Binance","Exploit"
"195",0,0,"Binance","Exit Scam"
"196",0,0,"Ethereum","Exploit"
"197",0,0,"Binance","Exit Scam"
"198",0,0,"Ethereum","Exit Scam"
"199",158343,0,"Ethereum","Exploit"
"200",0,0,"Ethereum","Exit Scam"
"201",0,0,"Binance","Exit Scam"
"202",0,0,"Binance","Exit Scam"
"203",0,0,"Binance","Exit Scam"
"204",0,0,"Binance","Exit Scam"
"205",208514,0,"Ethereum","Exit Scam"
"206",0,0,"Binance","Exit Scam"
"207",3300000,0,"Moonriver","Exploit"
"208",0,0,"Binance","Exit Scam"
"209",0,0,"Ethereum","Exit Scam"
"210",0,0,"Binance","Exit Scam"
"211",0,0,"Binance","Exit Scam"
"212",353807,0,"Ethereum","Exit Scam"
"213",686491,0,"Ethereum","Exit Scam"
"214",0,0,"Binance","Exit Scam"
"215",0,0,"Binance","Exit Scam"
"216",0,0,"Binance","Exit Scam"
"217",27100000,0,"Centralized","Exit Scam"
"218",0,0,"Binance","Exit Scam"
"219",0,0,"Binance","Exit Scam"
"220",0,0,"Ethereum","Exit Scam"
"221",30022,0,"Ethereum","Exit Scam"
"222",0,0,"Binance","Exit Scam"
"223",1910000,0,"Centralized","Exit Scam"
"224",0,0,"Ethereum","Exploit"
"225",0,0,"Binance","Exit Scam"
"226",0,0,"Binance","Exit Scam"
"227",0,0,"Binance","Exit Scam"
"228",0,0,"Binance","Exit Scam"
"229",40384,0,"Binance","Exit Scam"
"230",0,0,"Ethereum","Exit Scam"
"231",245000,0,"Ethereum","Exploit"
"232",0,0,"Binance","Exit Scam"
"233",0,0,"Ethereum","Exit Scam"
"234",0,0,"Ethereum","Exit Scam"
"235",110911,0,"Ethereum","Exploit"
"236",210893,0,"Binance","Exit Scam"
"237",0,0,"Binance","Exit Scam"
"238",0,0,"Binance","Exit Scam"
"239",0,0,"Binance","Exit Scam"
"240",0,0,"Binance","Exit Scam"
"241",0,0,"Binance","Exit Scam"
"242",0,0,"Ethereum","Exit Scam"
"243",1e+07,0,"Ethereum","Exploit"
"244",0,0,"Binance","Exit Scam"
"245",0,0,"Ethereum","Exit Scam"
"246",0,0,"Binance","Exit Scam"
"247",0,0,"Binance","Exit Scam"
"248",0,0,"Ethereum","Exit Scam"
"249",3837110,1746801,"Ethereum","Exploit"
"250",0,0,"Binance","Exit Scam"
"251",0,0,"Binance","Exit Scam"
"252",0,0,"Ethereum","Exit Scam"
"253",0,0,"Binance","Exit Scam"
"254",644404,0,"Binance","Exploit"
"255",0,0,"Binance","Exit Scam"
"256",0,0,"Binance","Exit Scam"
"257",0,0,"Binance","Exit Scam"
"258",0,0,"Binance","Exit Scam"
"259",0,0,"Binance","Exit Scam"
"260",31237,0,"Ethereum","Exit Scam"
"261",0,0,"Binance","Exit Scam"
"262",2324610,0,"Binance","Exit Scam"
"263",0,0,"Ethereum","Exit Scam"
"264",5.34e+08,5.34e+08,"Centralized","Exploit"
"265",0,0,"Ethereum","Exit Scam"
"266",1.81e+08,0,"Ethereum","Exploit"
"267",0,0,"Binance","Exit Scam"
"268",0,0,"Binance","Exit Scam"
"269",0,0,"Binance","Exit Scam"
"270",5500000,0,"Gnosis","Exploit"
"271",50830,0,"Binance","Exit Scam"
"272",0,0,"Binance","Exit Scam"
"273",2e+09,5.6e+07,"Centralized","Exit Scam"
"274",0,0,"Binance","Exit Scam"
"275",0,0,"Ethereum","Exit Scam"
"276",0,0,"Ethereum","Exploit"
"277",0,0,"Binance","Exit Scam"
"278",0,0,"Ethereum","Exit Scam"
"279",0,0,"Binance","Exit Scam"
"280",0,0,"Binance","Exit Scam"
"281",0,0,"Binance","Exit Scam"
"282",0,0,"Binance","Exit Scam"
"283",0,0,"Binance","Exploit"
"284",0,0,"Binance","Exit Scam"
"285",9.7e+07,0,"Centralized","Exploit"
"286",0,0,"Binance","Exit Scam"
"287",0,0,"Binance","Exit Scam"
"288",0,0,"Ethereum","Exit Scam"
"289",0,0,"Ethereum","Exit Scam"
"290",0,0,"Binance","Exit Scam"
"291",35643,0,"Ethereum","Exit Scam"
"292",0,0,"Ethereum","Exit Scam"
"293",0,0,"Binance","Exit Scam"
"294",251000,0,"Centralized","Exploit"
"295",0,0,"Binance","Exit Scam"
"296",0,0,"Ethereum","Exit Scam"
"297",0,0,"Binance","Exit Scam"
"298",0,0,"Binance","Exit Scam"
"299",33821,0,"Binance","Exit Scam"
"300",0,0,"Binance","Exit Scam"
"301",1.81e+08,0,"Centralized","Exit Scam"
"302",0,0,"Ethereum","Exit Scam"
"303",0,0,"Binance","Exit Scam"
"304",22924,0,"Ethereum","Exit Scam"
"305",0,0,"Binance","Exit Scam"
"306",0,0,"Binance","Exit Scam"
"307",1500000,0,"Centralized","Exploit"
"308",0,0,"Binance","Exit Scam"
"309",0,0,"Binance","Exit Scam"
"310",30000,0,"Solana","Exit Scam"
"311",0,0,"Ethereum","Exit Scam"
"312",0,0,"Ethereum","Exit Scam"
"313",1900000,0,"Ethereum","Exploit"
"314",0,0,"Ethereum","Exit Scam"
"315",0,0,"Ethereum","Exit Scam"
"316",39471,0,"Binance","Exit Scam"
"317",0,0,"Binance","Exit Scam"
"318",0,0,"Binance","Exit Scam"
"319",0,0,"Binance","Exit Scam"
"320",0,0,"Binance","Exit Scam"
"321",0,0,"Ethereum","Exit Scam"
"322",0,0,"Binance","Exit Scam"
"323",0,0,"Ethereum","Exit Scam"
"324",0,0,"Ethereum","Exit Scam"
"325",0,0,"Binance","Exit Scam"
"326",0,0,"Binance","Exit Scam"
"327",0,0,"Ethereum","Exit Scam"
"328",0,0,"Binance","Exit Scam"
"329",0,0,"Binance","Exit Scam"
"330",0,0,"Binance","Exit Scam"
"331",0,0,"Binance","Exit Scam"
"332",0,0,"Ethereum","Exit Scam"
"333",3.36e+09,3.36e+09,"Centralized","Exploit"
"334",346253,0,"Binance","Exit Scam"
"335",0,0,"Binance","Exit Scam"
"336",0,0,"Ethereum","Exit Scam"
"337",0,0,"Ethereum","Exit Scam"
"338",0,0,"Binance","Exit Scam"
"339",0,0,"Binance","Exit Scam"
"340",0,0,"Binance","Exit Scam"
"341",0,0,"Binance","Exit Scam"
"342",0,0,"Ethereum","Exit Scam"
"343",0,0,"Ethereum","Exit Scam"
"344",12700000,0,"Binance","Exploit"
"345",0,0,"Binance","Exit Scam"
"346",0,0,"Binance","Exit Scam"
"347",110383,0,"Ethereum","Exit Scam"
"348",619000,0,"Centralized","Exit Scam"
"349",4.8e+07,0,"Solana","Exploit"
"350",487042,0,"Binance","Exploit"
"351",0,0,"Ethereum","Exit Scam"
"352",4400000,0,"Solana","Exploit"
"353",0,0,"Ethereum","Exit Scam"
"354",0,0,"Ethereum","Exit Scam"
"355",0,0,"Binance","Exit Scam"
"356",0,0,"Binance","Exit Scam"
"357",45978,0,"Binance","Exit Scam"
"358",0,0,"Binance","Exit Scam"
"359",0,0,"Binance","Exit Scam"
"360",0,0,"Binance","Exit Scam"
"361",0,0,"Binance","Exit Scam"
"362",0,0,"Binance","Exit Scam"
"363",276290,0,"Ethereum","Exploit"
"364",1500000,0,"Binance","Exit Scam"
"365",0,0,"Ethereum","Exit Scam"
"366",156844,0,"Binance","Exit Scam"
"367",0,0,"Ethereum","Exit Scam"
"368",0,0,"Binance","Exit Scam"
"369",573223,0,"Binance","Exit Scam"
"370",0,0,"Binance","Exit Scam"
"371",0,0,"Binance","Exit Scam"
"372",47505,0,"Ethereum","Exit Scam"
"373",5e+06,5e+06,"Centralized","Exploit"
"374",0,0,"Ethereum","Exit Scam"
"375",0,0,"Binance","Exit Scam"
"376",0,0,"Binance","Exit Scam"
"377",0,0,"Ethereum","Exit Scam"
"378",0,0,"Binance","Exit Scam"
"379",0,0,"Binance","Exit Scam"
"380",0,0,"Ethereum","Exit Scam"
"381",0,0,"Polygon","Exit Scam"
"382",0,0,"Binance","Exit Scam"
"383",0,0,"Polygon","Exit Scam"
"384",0,0,"Binance","Exit Scam"
"385",12326985,0,"Ethereum","Exit Scam"
"386",0,0,"Polygon","Exit Scam"
"387",0,0,"Binance","Exit Scam"
"388",0,0,"Binance","Exit Scam"
"389",0,0,"Binance","Exit Scam"
"390",8100000,8100000,"Ethereum","Exploit"
"391",19950,0,"Binance","Exit Scam"
"392",0,0,"Binance","Exit Scam"
"393",0,0,"Ethereum","Exit Scam"
"394",0,0,"Binance","Exit Scam"
"395",0,0,"Ethereum","Exit Scam"
"396",370000,0,"Centralized","Exploit"
"397",0,0,"Ethereum","Exit Scam"
"398",0,0,"Binance","Exit Scam"
"399",0,0,"Ethereum","Exit Scam"
"400",0,0,"Ethereum","Exit Scam"
"401",0,0,"Binance","Exit Scam"
"402",0,0,"Binance","Exit Scam"
"403",449690,0,"Ethereum","Exit Scam"
"404",0,0,"Binance","Exit Scam"
"405",3500000,0,"Binance","Exit Scam"
"406",0,0,"Binance","Exit Scam"
"407",0,0,"Ethereum","Exit Scam"
"408",0,0,"Binance","Exit Scam"
"409",1200000,0,"Binance","Exit Scam"
"410",0,0,"Ethereum","Exit Scam"
"411",0,0,"Binance","Exit Scam"
"412",0,0,"Ethereum","Exit Scam"
